R1,FIT1,R2,FIT2,R3,FIT3,R4,FIT4,R5,FIT5,R6,FIT6,R7,FIT7,R8,FIT8,R9,FIT9,R10,FIT10
1,73,1,70,1,61,1,61,1,79,1,70,1,79,1,67,1,58,1,42
2,25,2,40,2,28,2,32.063796,2,36,2,34,2,39,2,39,2,26,2,35
3,21.674041,3,21.924833,3,26.321641,3,15,3,27,3,25.27866,3,21.000144,3,19,3,26,3,18.329689
4,12.505215,4,15.488457,4,10.850084,4,12.990921,4,18.265936,4,16.234733,4,9.726421,4,14.418801,4,22,4,16.719618
5,12.435348,5,9.6176,5,12.39557,5,12.990921,5,9.365921,5,13.625969,5,9.609,5,3.643524,5,15.88357,5,10.630999
6,7.207445,6,9.675681,6,5.699097,6,6.809628,6,8.228825,6,6.893125,6,4.345576,6,3.643524,6,10.216602,6,6.294954
7,7.123294,7,8.524049,7,5.034338,7,5.039694,7,5.34339,7,5.849986,7,4.542712,7,3.156003,7,10.216602,7,6.025672
8,4.240982,8,5.471787,8,2.75749,8,5.039694,8,4.927365,8,4.871302,8,2.099275,8,3.156003,8,9.165683,8,4.217595
9,4.240982,9,5.418404,9,2.13384,9,3.697231,9,4.330381,9,5.093035,9,1.325369,9,2.21485,9,7.189898,9,3.008038
10,4.240982,10,5.04338,10,1.995861,10,4.023895,10,3.398805,10,3.818377,10,1.006298,10,2.21485,10,6.017493,10,2.375348
11,3.393867,11,4.643298,11,1.060297,11,2.894965,11,2.700399,11,1.75443,11,0.779528,11,2.000529,11,5.342963,11,2.115006
12,2.383434,12,3.280509,12,1.060297,12,2.894965,12,2.132225,12,1.75443,12,0.69049,12,1.090497,12,2.532931,12,1.947785
13,1.563506,13,2.39906,13,0.792701,13,2.394242,13,1.509522,13,1.75443,13,0.276498,13,1.090497,13,0.872947,13,1.468685
14,1.563506,14,2.39906,14,0.792701,14,1.887227,14,1.170581,14,1.803741,14,0.165442,14,0.513283,14,0.872947,14,1.191606
15,1.127989,15,1.751946,15,0.792701,15,1.663479,15,1.170581,15,1.203726,15,0.129517,15,0.513283,15,0.872947,15,1.07124
16,0.943419,16,1.499994,16,0.40455,16,1.139063,16,1.012041,16,1.111921,16,0.05101,16,0.513283,16,0.205071,16,0.569506
17,0.761418,17,1.265154,17,0.40455,17,0.863543,17,0.576842,17,1.111921,17,0.05101,17,0.321603,17,0.634194,17,0.346448
18,0.537216,18,0.887997,18,0.380605,18,0.743126,18,0.60929,18,0.556293,18,0.05101,18,0.217438,18,0.634194,18,0.346448
19,0.25493,19,0.671919,19,0.272022,19,0.676223,19,0.368773,19,0.556293,19,0.02793,19,0.233828,19,0.634194,19,0.197634
20,0.130423,20,0.547606,20,0.182817,20,0.351118,20,0.303505,20,0.278474,20,0.02793,20,0.090244,20,0.427721,20,0.197634
21,0.116115,21,0.396117,21,0.050183,21,0.273033,21,0.233226,21,0.278474,21,0.02793,21,0.090244,21,0.28175,21,0.156877
22,0.035727,22,0.396117,22,0.050183,22,0.273033,22,0.203329,22,0.278474,22,0.02793,22,0.058555,22,0.28175,22,0.149641
23,0.035727,23,0.326158,23,0.030379,23,0.273033,23,0.179143,23,0.239513,23,0.006178,23,0.035758,23,0.213822,23,0.099167
24,0.035727,24,0.26833,24,0.028154,24,0.195194,24,0.163271,24,0.156921,24,0.006178,24,0.035758,24,0.17889,24,0.099167
25,0.035727,25,0.159187,25,0.028154,25,0.140901,25,0.144883,25,0.096855,25,0.00416,25,0.031471,25,0.137763,25,0.099167
26,0.035727,26,0.159187,26,0.018138,26,0.030825,26,0.117125,26,0.096855,26,0.00133,26,0.030036,26,0.137763,26,0.067638
27,0.032087,27,0.159187,27,0.008705,27,0.049322,27,0.106729,27,0.109433,27,0.00133,27,0.022315,27,0.103805,27,0.067638
28,0.032087,28,0.159187,28,0.008705,28,0.049725,28,0.104772,28,0.104985,28,0.00133,28,0.015846,28,0.039718,28,0.044504
29,0.032087,29,0.086371,29,0.00497,29,0.030825,29,0.077755,29,0.070054,29,0.00133,29,0.015846,29,0.039718,29,0.044504
30,0.025301,30,0.086371,30,0.00497,30,0.030726,30,0.042518,30,0.070054,30,0.000529,30,0.015846,30,0.039718,30,0.044504
31,0.025301,31,0.086371,31,0.00497,31,0.030726,31,0.042518,31,0.040793,31,0.000529,31,0.02055,31,0.039718,31,0.044504
32,0.025301,32,0.086371,32,0.002274,32,0.030726,32,0.042518,32,0.04559,32,0.000529,32,0.013299,32,0.039718,32,0.035313
33,0.022578,33,0.05519,33,0.002274,33,0.030726,33,0.025231,33,0.043965,33,0.000529,33,0.013299,33,0.039718,33,0.035313
34,0.020858,34,0.05519,34,0.002274,34,0.030726,34,0.025231,34,0.022024,34,0.000529,34,0.013299,34,0.039718,34,0.028209
35,0.020858,35,0.05519,35,0.002278,35,0.030726,35,0.025231,35,0.022024,35,0.000529,35,0.009591,35,0.034887,35,0.014129
36,0.020858,36,0.044969,36,0.000686,36,0.02463,36,0.008381,36,0.029989,36,0.000529,36,0.009591,36,0.001738,36,0.014129
37,0.002526,37,0.01677,37,0.000686,37,0.01757,37,0.016914,37,0.029989,37,0.000529,37,0.009591,37,0.015285,37,0.014129
38,0.002526,38,0.01677,38,0.000597,38,0.01757,38,0.008381,38,0.021781,38,0.000529,38,0.009591,38,0.015285,38,0.014129
39,0.002526,39,0.006178,39,0.000597,39,0.011837,39,0.008381,39,0.013869,39,0.000529,39,0.004231,39,0.015285,39,0.014129
40,0.002526,40,0.006178,40,0.000597,40,0.007965,40,0.008381,40,0.010705,40,0.000529,40,0.004231,40,0.015285,40,0.014129
41,0.002526,41,0.005143,41,0.000597,41,0.007965,41,0.00515,41,0.010705,41,0.000529,41,0.004231,41,0.001738,41,0.012084
42,0.002526,42,0.005143,42,0.000597,42,0.005826,42,0.005053,42,0.010705,42,0.000529,42,0.004355,42,0.001738,42,0.012084
43,0.002526,43,0.005143,43,0.000597,43,0.005826,43,0.004046,43,0.007985,43,0.000529,43,0.004355,43,0.001738,43,0.005064
44,0.002526,44,0.004444,44,0.000597,44,0.005826,44,0.003766,44,0.002249,44,5.00E-06,44,0.002021,44,0.001738,44,0.005064
45,0.002526,45,0.004444,45,0.000597,45,0.005826,45,0.003326,45,0.002249,45,5.00E-06,45,0.002021,45,0.000378,45,0.005064
46,0.002526,46,0.004444,46,0.000597,46,0.005826,46,0.003326,46,0.002984,46,4.00E-06,46,0.002021,46,0.002018,46,0.007665
47,0.002526,47,0.004444,47,0.000597,47,0.005826,47,0.003326,47,0.002984,47,4.00E-06,47,0.002021,47,0.002018,47,0.007665
48,0.002094,48,0.004444,48,0.000597,48,0.005826,48,0.003326,48,0.002984,48,4.00E-06,48,0.00138,48,0.002018,48,0.005064
49,0.002094,49,0.004444,49,0.000597,49,0.005826,49,0.003326,49,0.002984,49,4.00E-06,49,0.000899,49,0.002018,49,0.005064
50,0.002094,50,0.004639,50,7.70E-05,50,0.005826,50,0.003326,50,0.002984,50,4.00E-06,50,0.000899,50,0.000693,50,0.005064
51,0.002094,51,0.003372,51,7.70E-05,51,0.005826,51,0.003326,51,0.002984,51,4.00E-06,51,0.000899,51,0.000693,51,0.005425
52,0.002094,52,0.003372,52,7.70E-05,52,0.005826,52,0.003326,52,0.002984,52,4.00E-06,52,0.000563,52,0.000693,52,0.005064
53,0.002094,53,0.003372,53,7.70E-05,53,0.005826,53,0.000989,53,0.002984,53,4.00E-06,53,0.000563,53,0.000693,53,0.002745
54,0.002094,54,0.001851,54,7.70E-05,54,0.004165,54,0.000989,54,0.002774,54,4.00E-06,54,0.000563,54,0.000693,54,0.000277
55,0.000378,55,0.001851,55,7.70E-05,55,0.004165,55,0.002005,55,0.002774,55,4.00E-06,55,0.000563,55,0.000693,55,0.000277
56,0.000378,56,0.001851,56,7.70E-05,56,0.004165,56,0.002005,56,0.002401,56,4.00E-06,56,0.000563,56,0.000693,56,0.000277
57,0.000378,57,0.001851,57,7.70E-05,57,0.004165,57,0.002005,57,0.002401,57,4.00E-06,57,0.000563,57,0.000693,57,0.000277
58,0.000378,58,0.001851,58,7.70E-05,58,0.001954,58,0.002005,58,0.002216,58,4.00E-06,58,0.000563,58,0.000693,58,0.000277
59,0.000378,59,0.001851,59,7.70E-05,59,0.001954,59,0.000989,59,0.002216,59,4.00E-06,59,0.000563,59,0.000418,59,0.000277
60,0.000378,60,0.001716,60,7.70E-05,60,0.001954,60,0.00063,60,0.002216,60,4.00E-06,60,0.000563,60,0.000378,60,0.000277
61,0.000378,61,0.001716,61,7.70E-05,61,0.001954,61,0.00063,61,0.002216,61,4.00E-06,61,0.000563,61,0.000378,61,0.000277
62,0.000378,62,0.001716,62,7.70E-05,62,0.001954,62,0.00063,62,0.002249,62,4.00E-06,62,0.000563,62,0.000378,62,0.000196
63,0.000378,63,0.001716,63,7.70E-05,63,0.001954,63,0.000115,63,0.002249,63,4.00E-06,63,0.000563,63,0.000378,63,0.000196
64,0.000378,64,0.001716,64,7.70E-05,64,0.001954,64,0.000115,64,0.002249,64,4.00E-06,64,0.000563,64,0.000378,64,0.000196
65,0.000378,65,0.001716,65,2.90E-05,65,0.001954,65,0.000115,65,0.001229,65,4.00E-06,65,0.000563,65,0.000378,65,0.000196
66,0.000378,66,0.001716,66,1.40E-05,66,0.001954,66,0.000259,66,0.001229,66,4.00E-06,66,0.000563,66,0.000378,66,0.000196
67,0.000378,67,0.001716,67,1.40E-05,67,0.001954,67,0.000259,67,0.001229,67,4.00E-06,67,0.000563,67,0.000378,67,0.000196
68,0.000378,68,0.001578,68,1.40E-05,68,0.002241,68,0.000259,68,0.001229,68,4.00E-06,68,0.000274,68,0.000355,68,0.000196
69,0.000378,69,0.001431,69,1.10E-05,69,0.002241,69,0.000115,69,0.001229,69,4.00E-06,69,0.000274,69,0.000355,69,0.000196
70,0.000378,70,0.001431,70,1.10E-05,70,0.001954,70,0.000115,70,0.000881,70,4.00E-06,70,0.000274,70,0.000355,70,0.000196
71,0.000378,71,0.001431,71,1.10E-05,71,0.001954,71,0.000115,71,0.000536,71,4.00E-06,71,0.000274,71,0.000355,71,0.000196
72,7.70E-05,72,0.000604,72,1.10E-05,72,0.001954,72,0.000115,72,0.000536,72,4.00E-06,72,0.000274,72,0.000334,72,0.000196
73,7.70E-05,73,0.0005,73,1.10E-05,73,0.001954,73,0.000115,73,0.000536,73,4.00E-06,73,0.000274,73,0.000334,73,0.000196
74,6.10E-05,74,0.0005,74,1.10E-05,74,0.001954,74,0.000115,74,0.000536,74,4.00E-06,74,0.000274,74,0.000334,74,0.000196
75,6.10E-05,75,0.0005,75,1.10E-05,75,0.001954,75,0.000115,75,0.000536,75,4.00E-06,75,0.000274,75,0.000334,75,0.000196
76,6.10E-05,76,0.0005,76,1.10E-05,76,0.001954,76,0.000115,76,0.000375,76,4.00E-06,76,0.000274,76,0.000334,76,0.000196
77,6.10E-05,77,0.0005,77,1.10E-05,77,0.001734,77,0.000115,77,0.000375,77,4.00E-06,77,0.000274,77,0.000334,77,0.000196
78,6.10E-05,78,0.0005,78,1.10E-05,78,0.001734,78,0.000115,78,0.000375,78,4.00E-06,78,0.000274,78,0.000334,78,0.000196
79,5.80E-05,79,0.0005,79,1.10E-05,79,0.001734,79,0.000115,79,0.000374,79,4.00E-06,79,0.000274,79,0.000334,79,0.000196
80,5.80E-05,80,0.0005,80,1.10E-05,80,0.000511,80,0.000115,80,0.000254,80,4.00E-06,80,0.000274,80,0.000334,80,0.000196
81,5.80E-05,81,0.0005,81,1.10E-05,81,0.000511,81,0.000115,81,0.000254,81,4.00E-06,81,0.000274,81,0.000334,81,0.000196
82,5.80E-05,82,0.0005,82,1.10E-05,82,0.000546,82,0.000115,82,0.000254,82,4.00E-06,82,0.000274,82,0.000334,82,0.000196
83,5.80E-05,83,0.0005,83,1.10E-05,83,0.000546,83,0.000115,83,0.000254,83,4.00E-06,83,0.000274,83,0.000254,83,0.000196
84,5.80E-05,84,0.0005,84,1.10E-05,84,0.000511,84,0.000115,84,0.000254,84,4.00E-06,84,5.90E-05,84,0.000254,84,0.000196
85,5.80E-05,85,0.0005,85,1.10E-05,85,0.000511,85,0.000115,85,0.000254,85,4.00E-06,85,5.90E-05,85,0.000254,85,0.000196
86,5.80E-05,86,0.0005,86,1.10E-05,86,0.000511,86,0.000115,86,0.000254,86,4.00E-06,86,5.90E-05,86,0.000254,86,0.000196
87,5.80E-05,87,0.000236,87,1.10E-05,87,0.000511,87,0.000115,87,0.000254,87,4.00E-06,87,0.000122,87,0.000254,87,0.000196
88,5.80E-05,88,0.000236,88,1.10E-05,88,0.000511,88,0.000115,88,0.000254,88,4.00E-06,88,0.000122,88,0.000254,88,0.000196
89,5.80E-05,89,0.000236,89,1.10E-05,89,0.000511,89,0.000115,89,0.000254,89,4.00E-06,89,0.000122,89,0.000235,89,0.000196
90,5.80E-05,90,0.000236,90,1.10E-05,90,0.000511,90,0.000115,90,0.000254,90,4.00E-06,90,0.000179,90,0.000235,90,0.000196
91,5.80E-05,91,0.000236,91,1.10E-05,91,0.000511,91,0.000115,91,0.000254,91,4.00E-06,91,0.000179,91,0.000235,91,0.000196
92,5.80E-05,92,0.000236,92,1.10E-05,92,0.000351,92,0.000115,92,0.000254,92,4.00E-06,92,0.000179,92,0.000235,92,0.000196
93,5.80E-05,93,0.000236,93,1.10E-05,93,7.60E-05,93,0.000115,93,0.000254,93,4.00E-06,93,0.000179,93,0.000235,93,0.000196
94,5.80E-05,94,0.000236,94,1.10E-05,94,7.60E-05,94,8.30E-05,94,0.000254,94,4.00E-06,94,0.000122,94,0.000235,94,0.000196
95,5.80E-05,95,0.000236,95,6.00E-06,95,7.60E-05,95,3.80E-05,95,0.000254,95,4.00E-06,95,5.90E-05,95,0.000235,95,0.000196
96,5.80E-05,96,0.000236,96,6.00E-06,96,7.60E-05,96,3.80E-05,96,0.000254,96,4.00E-06,96,5.40E-05,96,0.000235,96,0.000196
97,5.80E-05,97,0.000236,97,6.00E-06,97,7.60E-05,97,3.80E-05,97,0.000254,97,4.00E-06,97,5.40E-05,97,0.000235,97,0.000196
98,5.80E-05,98,0.000236,98,6.00E-06,98,7.60E-05,98,3.80E-05,98,0.000254,98,4.00E-06,98,5.40E-05,98,0.000235,98,0.000196
99,5.80E-05,99,0.000236,99,6.00E-06,99,7.60E-05,99,3.80E-05,99,0.000254,99,4.00E-06,99,5.40E-05,99,0.00019,99,0.000169
100,5.80E-05,100,0.000236,100,6.00E-06,100,7.60E-05,100,3.80E-05,100,0.000254,100,4.00E-06,100,5.40E-05,100,0.00019,100,0.000169
101,5.80E-05,101,0.000236,101,6.00E-06,101,7.60E-05,101,3.80E-05,101,0.000254,101,4.00E-06,101,5.40E-05,101,0.00019,101,0.000169
102,5.80E-05,102,0.000236,102,6.00E-06,102,7.60E-05,102,3.80E-05,102,0.000254,102,4.00E-06,102,5.40E-05,102,0.00019,102,0.000169
103,5.80E-05,103,0.000236,103,6.00E-06,103,7.60E-05,103,3.80E-05,103,0.000249,103,4.00E-06,103,5.40E-05,103,0.00019,103,2.50E-05
104,4.20E-05,104,0.000204,104,6.00E-06,104,7.60E-05,104,3.80E-05,104,0.000249,104,4.00E-06,104,5.40E-05,104,0.00019,104,2.50E-05
105,4.20E-05,105,0.000204,105,6.00E-06,105,7.60E-05,105,3.80E-05,105,0.00023,105,4.00E-06,105,5.40E-05,105,0.00019,105,2.50E-05
106,4.20E-05,106,0.000204,106,6.00E-06,106,7.60E-05,106,3.80E-05,106,0.00023,106,4.00E-06,106,5.40E-05,106,0.00019,106,2.50E-05
107,4.20E-05,107,0.000204,107,6.00E-06,107,7.90E-05,107,3.80E-05,107,0.000202,107,4.00E-06,107,5.40E-05,107,0.00019,107,2.50E-05
108,4.20E-05,108,0.000204,108,6.00E-06,108,7.90E-05,108,2.70E-05,108,0.000202,108,4.00E-06,108,5.40E-05,108,0.00019,,
109,4.20E-05,109,0.000204,109,6.00E-06,109,7.90E-05,109,1.90E-05,109,0.000202,109,4.00E-06,109,5.40E-05,109,0.00019,,
110,4.20E-05,110,0.000204,110,6.00E-06,110,7.90E-05,110,1.90E-05,110,0.000202,110,4.00E-06,110,5.40E-05,110,0.00019,,
111,4.20E-05,111,0.000204,111,6.00E-06,111,7.90E-05,111,1.90E-05,111,0.000202,111,4.00E-06,111,5.40E-05,111,0.00019,,
112,4.20E-05,112,0.000204,112,6.00E-06,112,7.90E-05,112,1.90E-05,112,0.000202,112,4.00E-06,112,5.40E-05,112,0.00019,,
113,4.20E-05,113,0.000204,113,6.00E-06,113,7.90E-05,113,1.90E-05,113,5.80E-05,113,4.00E-06,113,5.40E-05,113,0.00019,,
114,4.20E-05,114,0.000204,114,6.00E-06,114,7.90E-05,114,1.90E-05,114,5.80E-05,114,4.00E-06,114,5.40E-05,114,0.00019,,
115,4.20E-05,115,0.000204,115,6.00E-06,115,7.60E-05,115,1.90E-05,115,5.80E-05,115,4.00E-06,115,5.40E-05,115,0.00019,,
116,4.20E-05,116,0.000204,116,6.00E-06,116,7.60E-05,116,1.90E-05,116,5.80E-05,116,4.00E-06,116,5.40E-05,116,0.00019,,
117,4.20E-05,117,0.000175,117,6.00E-06,117,7.60E-05,117,1.90E-05,117,5.80E-05,117,4.00E-06,117,5.40E-05,117,0.00019,,
118,4.20E-05,118,0.00014,118,6.00E-06,118,7.60E-05,118,1.90E-05,118,5.80E-05,118,4.00E-06,118,5.40E-05,118,0.00019,,
119,4.20E-05,119,0.00014,119,6.00E-06,119,7.60E-05,119,1.90E-05,119,5.80E-05,119,4.00E-06,119,5.40E-05,119,0.00019,,
120,4.20E-05,120,0.00014,120,6.00E-06,120,7.60E-05,120,1.90E-05,120,5.80E-05,120,4.00E-06,120,5.40E-05,120,0.00019,,
121,3.00E-05,121,0.00014,121,5.00E-06,121,7.60E-05,121,1.90E-05,121,5.80E-05,121,4.00E-06,121,5.40E-05,121,0.00019,,
122,3.00E-05,122,0.00014,122,5.00E-06,122,7.60E-05,122,1.90E-05,122,5.80E-05,122,4.00E-06,122,5.40E-05,122,0.00019,,
123,3.00E-05,123,0.00014,123,5.00E-06,123,5.50E-05,123,1.90E-05,123,5.80E-05,123,4.00E-06,123,5.40E-05,123,0.00019,,
124,3.00E-05,124,0.00014,124,5.00E-06,124,5.50E-05,124,1.90E-05,124,5.80E-05,124,4.00E-06,124,5.40E-05,124,0.00019,,
125,3.00E-05,125,4.40E-05,125,5.00E-06,125,5.50E-05,125,1.90E-05,125,5.80E-05,125,4.00E-06,125,5.40E-05,125,5.00E-05,,
126,3.00E-05,126,4.40E-05,126,5.00E-06,126,5.50E-05,126,1.90E-05,126,5.80E-05,126,4.00E-06,126,5.40E-05,126,5.00E-05,,
127,3.00E-05,127,4.40E-05,127,5.00E-06,127,5.50E-05,127,1.40E-05,127,5.80E-05,127,4.00E-06,127,5.40E-05,127,5.00E-05,,
128,3.00E-05,128,4.40E-05,128,5.00E-06,128,5.50E-05,128,1.40E-05,128,5.80E-05,128,4.00E-06,128,5.40E-05,128,5.00E-05,,
129,3.00E-05,129,4.40E-05,129,5.00E-06,129,5.50E-05,129,1.40E-05,129,5.80E-05,129,4.00E-06,129,5.40E-05,129,5.00E-05,,
130,3.00E-05,130,4.40E-05,130,5.00E-06,130,5.50E-05,130,1.40E-05,130,5.80E-05,130,4.00E-06,130,5.40E-05,130,5.00E-05,,
131,3.00E-05,131,4.40E-05,131,5.00E-06,131,5.50E-05,131,1.40E-05,131,5.80E-05,131,4.00E-06,131,5.40E-05,131,5.00E-05,,
132,3.00E-05,132,4.40E-05,132,5.00E-06,132,5.50E-05,132,1.40E-05,132,5.80E-05,132,4.00E-06,132,5.40E-05,132,5.00E-05,,
133,3.00E-05,133,4.40E-05,133,5.00E-06,133,5.50E-05,133,1.40E-05,133,5.80E-05,133,4.00E-06,133,5.40E-05,133,5.00E-05,,
134,3.00E-05,134,2.30E-05,134,5.00E-06,134,5.50E-05,134,1.40E-05,134,5.80E-05,134,4.00E-06,134,5.40E-05,134,5.00E-05,,
135,3.00E-05,135,2.30E-05,135,5.00E-06,135,5.50E-05,135,1.40E-05,135,5.80E-05,135,4.00E-06,135,5.40E-05,135,5.00E-05,,
136,3.00E-05,136,2.30E-05,136,5.00E-06,136,3.40E-05,136,1.40E-05,136,5.80E-05,136,4.00E-06,136,5.40E-05,136,5.00E-05,,
137,3.00E-05,137,2.30E-05,137,5.00E-06,137,3.40E-05,137,1.40E-05,137,5.80E-05,137,4.00E-06,137,5.40E-05,137,5.00E-05,,
138,3.00E-05,138,2.30E-05,138,5.00E-06,138,3.40E-05,138,1.40E-05,138,5.80E-05,138,4.00E-06,138,3.00E-05,138,5.00E-05,,
139,2.10E-05,139,2.30E-05,139,5.00E-06,139,3.40E-05,139,1.00E-05,139,5.80E-05,139,4.00E-06,139,3.00E-05,139,5.00E-05,,
140,2.10E-05,140,2.30E-05,140,5.00E-06,140,3.40E-05,140,1.00E-05,140,5.80E-05,140,4.00E-06,140,3.00E-05,140,5.00E-05,,
141,2.10E-05,141,2.30E-05,141,5.00E-06,141,3.40E-05,141,1.00E-05,141,5.80E-05,141,4.00E-06,141,3.00E-05,141,5.00E-05,,
142,2.10E-05,142,2.30E-05,142,5.00E-06,142,3.40E-05,142,1.00E-05,142,5.80E-05,142,4.00E-06,142,3.00E-05,142,5.00E-05,,
143,2.10E-05,143,2.30E-05,143,5.00E-06,143,3.40E-05,143,1.00E-05,143,5.80E-05,143,4.00E-06,143,3.00E-05,143,5.00E-05,,
144,2.10E-05,144,2.30E-05,144,5.00E-06,144,3.40E-05,144,1.00E-05,144,3.40E-05,144,4.00E-06,144,3.00E-05,144,5.00E-05,,
145,2.10E-05,145,2.30E-05,145,5.00E-06,145,3.40E-05,145,1.00E-05,145,3.40E-05,145,4.00E-06,145,3.00E-05,145,5.00E-05,,
146,2.10E-05,146,2.30E-05,146,5.00E-06,146,3.40E-05,146,1.00E-05,146,3.40E-05,146,4.00E-06,146,3.00E-05,146,5.00E-05,,
147,2.10E-05,147,2.30E-05,147,5.00E-06,147,3.40E-05,147,1.00E-05,147,3.40E-05,147,4.00E-06,147,3.00E-05,147,5.00E-05,,
148,2.10E-05,148,2.20E-05,148,5.00E-06,148,3.40E-05,148,1.00E-05,148,3.40E-05,148,4.00E-06,148,3.00E-05,148,5.00E-05,,
149,2.10E-05,149,2.20E-05,149,5.00E-06,149,3.40E-05,149,1.00E-05,149,3.40E-05,149,4.00E-06,149,3.00E-05,149,5.00E-05,,
