MR,CR,PS,F1,NF1
0.2,0.2,10,27267,0.02469031837
0.4,0.2,10,32460,0.02939258937
0.6,0.2,10,95730,0.0866836901
0.8,0.2,10,446027,0.4038782643
0.2,0.4,10,13368,0.01210474845
0.4,0.4,10,22220,0.02012025064
0.6,0.4,10,49198,0.04454887899
0.8,0.4,10,255241,0.2311211924
0.2,0.6,10,12103,0.01095928864
0.4,0.6,10,12601,0.01141022855
0.6,0.6,10,27254,0.02467854685
0.8,0.6,10,148113,0.1341165924
0.2,0.8,10,6412,0.005806077728
0.4,0.8,10,7869,0.007125393893
0.6,0.8,10,21843,0.01977887645
0.8,0.8,10,161237,0.1460003984
0.2,0.2,100,2968,0.02687529429
0.4,0.2,100,3701,0.0335126227
0.6,0.2,100,13407,0.1214006302
0.8,0.2,100,110436,1
0.2,0.4,100,1659,0.01502227535
0.4,0.4,100,2441,0.02210329965
0.6,0.4,100,6513,0.05897533413
0.8,0.4,100,59766,0.5411822232
0.2,0.6,100,805,0.007289289724
0.4,0.6,100,1617,0.01464196458
0.6,0.6,100,5465,0.04948567496
0.8,0.6,100,41972,0.3800572277
0.2,0.8,100,729,0.006601108334
0.4,0.8,100,975,0.008828642834
0.6,0.8,100,3192,0.02890361839
0.8,0.8,100,31385,0.2841917491